Image Index,Image Path,Label
1,path/to/image_1.jpg,[1. 0. 0. 0. 0.]
2,path/to/image_2.jpg,[0. 0. 0. 0. 1.]
3,path/to/image_3.jpg,[1. 0. 0. 0. 0.]
4,path/to/image_4.jpg,[0. 0. 0. 0. 1.]
5,path/to/image_5.jpg,[1. 0. 0. 0. 0.]
6,path/to/image_6.jpg,[0. 0. 0. 0. 1.]
7,path/to/image_7.jpg,[1. 0. 0. 0. 0.]
8,path/to/image_8.jpg,[0. 0. 0. 0. 1.]
9,path/to/image_9.jpg,[1. 0. 0. 0. 0.]
10,path/to/image_10.jpg,[0. 0. 0. 0. 1.]
11,path/to/image_11.jpg,[1. 0. 0. 0. 0.]
12,path/to/image_12.jpg,[0. 0. 0. 0. 1.]
13,path/to/image_13.jpg,[1. 0. 0. 0. 0.]
14,path/to/image_14.jpg,[0. 0. 0. 0. 1.]
15,path/to/image_15.jpg,[1. 0. 0. 0. 0.]
16,path/to/image_16.jpg,[0. 0. 0. 0. 1.]
17,path/to/image_17.jpg,[1. 0. 0. 0. 0.]
18,path/to/image_18.jpg,[0. 0. 0. 0. 1.]
19,path/to/image_19.jpg,[1. 0. 0. 0. 0.]
20,path/to/image_20.jpg,[0. 0. 0. 0. 1.]
21,path/to/image_21.jpg,[1. 0. 0. 0. 0.]
22,path/to/image_22.jpg,[0. 0. 0. 0. 1.]
23,path/to/image_23.jpg,[1. 0. 0. 0. 0.]
24,path/to/image_24.jpg,[0. 0. 0. 0. 1.]
25,path/to/image_25.jpg,[1. 0. 0. 0. 0.]
26,path/to/image_26.jpg,[0. 0. 0. 0. 1.]
27,path/to/image_27.jpg,[1. 0. 0. 0. 0.]
28,path/to/image_28.jpg,[0. 0. 0. 0. 1.]
29,path/to/image_29.jpg,[1. 0. 0. 0. 0.]
30,path/to/image_30.jpg,[0. 0. 0. 0. 1.]
31,path/to/image_31.jpg,[1. 0. 0. 0. 0.]
32,path/to/image_32.jpg,[0. 0. 0. 0. 1.]
33,path/to/image_33.jpg,[1. 0. 0. 0. 0.]
34,path/to/image_34.jpg,[0. 0. 0. 0. 1.]
35,path/to/image_35.jpg,[1. 0. 0. 0. 0.]
36,path/to/image_36.jpg,[0. 0. 0. 0. 1.]
37,path/to/image_37.jpg,[1. 0. 0. 0. 0.]
38,path/to/image_38.jpg,[0. 0. 0. 0. 1.]
39,path/to/image_39.jpg,[1. 0. 0. 0. 0.]
40,path/to/image_40.jpg,[0. 0. 0. 0. 1.]
41,path/to/image_41.jpg,[1. 0. 0. 0. 0.]
42,path/to/image_42.jpg,[0. 0. 0. 0. 1.]
43,path/to/image_43.jpg,[1. 0. 0. 0. 0.]
44,path/to/image_44.jpg,[0. 0. 0. 0. 1.]
45,path/to/image_45.jpg,[1. 0. 0. 0. 0.]
46,path/to/image_46.jpg,[0. 0. 0. 0. 1.]
47,path/to/image_47.jpg,[1. 0. 0. 0. 0.]
48,path/to/image_48.jpg,[0. 0. 0. 0. 1.]
49,path/to/image_49.jpg,[1. 0. 0. 0. 0.]
50,path/to/image_50.jpg,[0. 0. 0. 0. 1.]
51,path/to/image_51.jpg,[1. 0. 0. 0. 0.]
52,path/to/image_52.jpg,[0. 0. 0. 0. 1.]
53,path/to/image_53.jpg,[1. 0. 0. 0. 0.]
54,path/to/image_54.jpg,[0. 0. 0. 0. 1.]
55,path/to/image_55.jpg,[1. 0. 0. 0. 0.]
56,path/to/image_56.jpg,[0. 0. 0. 0. 1.]
57,path/to/image_57.jpg,[1. 0. 0. 0. 0.]
58,path/to/image_58.jpg,[0. 0. 0. 0. 1.]
59,path/to/image_59.jpg,[1. 0. 0. 0. 0.]
60,path/to/image_60.jpg,[0. 0. 0. 0. 1.]
61,path/to/image_61.jpg,[1. 0. 0. 0. 0.]
62,path/to/image_62.jpg,[0. 0. 0. 0. 1.]
63,path/to/image_63.jpg,[1. 0. 0. 0. 0.]
64,path/to/image_64.jpg,[0. 0. 0. 0. 1.]
65,path/to/image_65.jpg,[1. 0. 0. 0. 0.]
66,path/to/image_66.jpg,[0. 0. 0. 0. 1.]
67,path/to/image_67.jpg,[1. 0. 0. 0. 0.]
68,path/to/image_68.jpg,[0. 0. 0. 0. 1.]
69,path/to/image_69.jpg,[1. 0. 0. 0. 0.]
70,path/to/image_70.jpg,[0. 0. 0. 0. 1.]
71,path/to/image_71.jpg,[1. 0. 0. 0. 0.]
72,path/to/image_72.jpg,[0. 0. 0. 0. 1.]
73,path/to/image_73.jpg,[1. 0. 0. 0. 0.]
74,path/to/image_74.jpg,[0. 0. 0. 0. 1.]
75,path/to/image_75.jpg,[1. 0. 0. 0. 0.]
76,path/to/image_76.jpg,[0. 0. 0. 0. 1.]
77,path/to/image_77.jpg,[1. 0. 0. 0. 0.]
78,path/to/image_78.jpg,[0. 0. 0. 0. 1.]
79,path/to/image_79.jpg,[1. 0. 0. 0. 0.]
80,path/to/image_80.jpg,[0. 0. 0. 0. 1.]
81,path/to/image_81.jpg,[1. 0. 0. 0. 0.]
82,path/to/image_82.jpg,[0. 0. 0. 0. 1.]
83,path/to/image_83.jpg,[1. 0. 0. 0. 0.]
84,path/to/image_84.jpg,[0. 0. 0. 0. 1.]
85,path/to/image_85.jpg,[1. 0. 0. 0. 0.]
86,path/to/image_86.jpg,[0. 0. 0. 0. 1.]
87,path/to/image_87.jpg,[1. 0. 0. 0. 0.]
88,path/to/image_88.jpg,[0. 0. 0. 0. 1.]
89,path/to/image_89.jpg,[1. 0. 0. 0. 0.]
90,path/to/image_90.jpg,[0. 0. 0. 0. 1.]
91,path/to/image_91.jpg,[1. 0. 0. 0. 0.]
92,path/to/image_92.jpg,[0. 0. 0. 0. 1.]
93,path/to/image_93.jpg,[1. 0. 0. 0. 0.]
94,path/to/image_94.jpg,[0. 0. 0. 0. 1.]
95,path/to/image_95.jpg,[1. 0. 0. 0. 0.]
96,path/to/image_96.jpg,[0. 0. 0. 0. 1.]
97,path/to/image_97.jpg,[1. 0. 0. 0. 0.]
98,path/to/image_98.jpg,[0. 0. 0. 0. 1.]
99,path/to/image_99.jpg,[1. 0. 0. 0. 0.]
100,path/to/image_100.jpg,[0. 0. 0. 0. 1.]
101,path/to/image_101.jpg,[1. 0. 0. 0. 0.]
